State/Province ,City ,Zip Code,Climate Zone ,Project Name,Type of Geothermal System ,Site Type ,Size/Capacity,Project Status ,Users ,# of Households Served,# of Population Served,Buildings Connected ,Design Heating Load ,Design Cooling Load ,"Building Details (For each type of building): Renovated building? If yes, previous heating/cooling system used. ",Heat Pump/Heat Exchanger Unit ,Thermal Resources Details: ,Distribution System Details: ,Backup Generation,Ownership Model,$ Cost ,Funding Sources,"Subscription Information (Hookups, fees, rates) ",Emissions Savings (GHG) ,Operational Successes ,Additional Information,Site Contact,Referenced Sources,Other Notes (Not for publishing)
Indiana,Muncie,,,Ball State University,4GDHC,College campus,"50 buildings, 5.6M sq ft","Operating: Construction 2009, Operation 2012",Mixed,N/A,N/A,50,Unknown,Unknown,"Buildings with heating/cooling (47): Yes, coal-fired boilers, GSHP. Partial geothermal heating only (2): Yes, coal-fired boilers, GSHP. Partial geothermal cooling only (1): Unknown, GSHP",GSHP,"3 fields, 3,600 boreholes total, 400-500 feet deep, 4-5 inch diameter. N/A waste heat",Freshwater. Unknown depth/length/diameter,,Private,$83M,"State of Indiana: $45M initial (phase one), additional $33M requested. Recovery Act, U.S. DOE: $5M",N/A,"Offsets 36,000 tons coal/year. Reductions: 75,000 tons CO2 (over half carbon footprint), 1,400 tons SO2, 240 tons NO2, 200 tons particulate matter, 80 tons CO, 3,600 tons coal ash","45M gallons water saved/year. 500 billion BTU energy saved/year. $2.2-2.5M annual cost savings. Sells carbon credits: ~$800k as of 2018 for sustainability efforts. Created ~2,300 jobs during construction",4GDHC with district energy stations containing heat pumps. Faced funding challenges. Faced challenges estimating heating/cooling demands - estimated heating dominated but actually cooling dominated. 13 buildings not yet connected (HVAC needs modification for hot water vs steam),James Lowe: jlowe@bsu.edu,,
Minnesota,Northfield ,,,Carleton College ,4GDHC ,College campus ,20 buildings,"Operating. Construction for the borefield began 2017, completed 2018. Construction for building renovations occured 2017 to 2021. Construction for energy station occured 2017, completed 2019. Distribution network construction began 2019, finished 2021. District energy system began operating 2021. ",Private institution,N/A ,"2,000",Approximately 20,Unknown,Unknown,"Yes. Natural gas powered steam distribution systemfor heating, electrically powered air conditioning units for cooling. ",GSHPs. ,"Three borehole fields: Bell Field, Mini Bald Spot, and Bald Spot. Bell Field: 95 horizontal hores, 510 feet long. Mini Bald Spot: 77 vertical bores, 520 feet depth. Bald Spot: 134 vertical bores, 520 feet depth. Energy station with 800ton heat pump. ",60 miles of piping. ,Natural gas. ,University/College,$41M,Unknown. ,N/A ,"70% reduction in natural gas consumption. Scope 1 and 2 emissions (operational and purchased electricity) decreased by 71% the College's baseline reporting year of fiscal year 2008, accounting for changes due to the commercial-scale wind turbines, geothermal system, and ""greening"" of Xcel's electricity grid. ",Decreased energy consumption by 46%. Anticipated 10-15% reduction in utility cost per square foot. ,"On the coldest days of the region, the geothermal system will serve 20% of Carleton's heating load. On an annual basis, the system is expected to deliver 70% of the College's total heating and cooling energy. The geothermal system was also able to take advantage of existing geothermal resources based on its location. ",,1. Colleges see untapped potential in geothermal district energy systems (2022)  2. Carleton College Utility Master Plan 3. Sustainability at Carleton: Geothermal Campus ,"Great example for college campuses, how to upgrade/use existing district energy systems"
Colorado,Grand Junction,,,Colorado Mesa University,5GDHC,College Campus,"16 buildings, 1.2M sq ft, ~110 acres",Operating: Networks installed 2007,Mixed use,Unknown,Unknown,16,3.27 MMBtu/hour,3.74 MMBtu/hour,Yes. Natural gas for heating,Water source heat pump to water or air connected to central loop via 8 in HDPE,"9 loop fields, 471 boreholes, 375-600 feet deep, 2-in HDPE pipe. 5 cooling towers backup, 2 boiler plants backup","2.5 miles central distribution loop pipe, 18 in diameter",,Campus owned,"Total: $20.2M. System/loop: $3,284/ton and $30/ft",University capital and grants. 2023: $6M from State of Colorado. 2024: $400k from Colorado Energy Office,Not applicable,"Since 2012: no fuel-fired furnace/boiler. Reduced 17,742 metric tons CO2/year. Saved 705,986 therms natural gas/year","$1.5M energy cost savings/year, nearly $12M since 2008. Provides 90% of energy. 10 kWh/sq ft/year, saves 14.86M electric kWh/year. Cost predictability enabled 3rd lowest combined fee rate among CO public colleges",CMU committed to connecting new buildings to geothermal system,Kent Marsh: kmarsh3@coloradomesa.edu,,
Connecticut,New Haven,,,Union Station Area Thermal Energy Network,5GDHC,Mixed: Commercial (train station) and Residential,Planned: Train station + 100 affordable housing units,Design Phase: Construction anticipated 2026-2028,Mixed,Anticipated 100,Unknown,Anticipated 100,Unknown,Unknown,"Union Station: Yes. Gas heating, electric cooling",Unknown,Unknown,Unknown,,Municipal,Unknown,EPA Climate Pollution Reduction Grant: $9.47M,Unknown,Unknown,Unknown,"Construction anticipated 2026, finish 2028",Jeff Howard: jeff.l.howard@ct.gov,,
Iowa,West Union,,,West Union Downtown/Green Streetscapes,5GDHC,Community,"Network, 12 buildings","Operating: Construction 2010, Operation 2014","Commercial: Courthouse, Chamber of Commerce, café, two banks, library, shops, apartments",N/A,"2,500",12,3.17 MMBtu/hr,3.17 MMBtu/hr,"Yes. Gas boilers for heating, unknown for cooling",GSHP,"1 field, 132 boreholes, 300-ft deep. N/A waste heat",Glycol/water. Unknown depth/length. 2-6-in HDPE pipes depending on energy load,,"Co-op Utility: Municipality owned, leased month-to-month to WUDE LLC user group. Operator: Geothermal Eco Options (since 2020)","Capital: $10.2M total, network $2.2M. Annual operating: estimated $25k","GSHP: USDA REAP grants/loans, Alliant Energy incentives/rebates. Network: DOE grant $1M, HUD Community Development Block Grant $1M, EPA $500k, Main Street Iowa $100k, Alliant Energy rebates","Connection inspection: $250. Monthly flat: $15. Per ton heating/cooling: $14 (2021), $10 (2024)","Decreased natural gas usage, exact GHG unknown",Plans for expansion. Pump house and distribution line vault installed in Lion's Park (potential 504 additional tons capacity). Geothermal pipes installed to curb line for 58 prospective users,"Part of Green Streetscapes Project (porous paving, bioswales, civic plaza, sidewalks, street lighting). Prices decreased annually due to management and growing user base: tonnage fees dropped from $14 (2021) to $10 (2024)",Steve Fate: stevefatellc@gmail.com,,
Vermont,Hinesburg ,,,GTI Energy w/VGS ,5GDHC,Community,77 housing units. ,Design Phase. ,Residential ,77,"Unknown, TBD. ","Unknown, TBD. ",162 MWh ,70MWh ,"No, new developments. ","Unknown, TBD. ","Unknown, TBD. ","Unknown, TBD. ","Unknown, TBD. ",Utility ,"Unknown, TBD. ",US DOE: $3M ,"Unknown, TBD. ","Unknown, TBD. ","Unknown, TBD. ","Prior to the project, utility partner Vermont Gas Systems had announced a commitment to reduce greenhouse gas emissions for its customers by 40% by 2030 and be net zero by 2050. VGS co-founded the Utility Networked Geothermal Collaborative (UNGC) in 2022 to transition the natural gas workfore to geothermal and build a community geothermal business model. The project is also assessing energy and environmental burdens by developing a community-informed geothermal system model that can be replicated in other communities. ","Kaushik Biswas, Eric Boria, Rohit Jogineedi, Ryan Kerr – GTI Energy. Morgan Hood – Vermont Gas Systems. Matt Mitchell, Shadi Abdel Haleem, Saqib Javed – National Renewable Energy Laboratory. George Martin, Greg Estep – LN Consulting","1. Coalition For Community-Supported Affordable Geothermal Energy Systems (C2SAGES) (2024) 2. C2SAGES: Coalition for Community-Supported Affordable Geothermal Energy Systems 3. Community Geothermal: SOil Conductivity, Borehole Design, Energy Models, and Load Data for a Residential System Development - Hinesburg, VT  ",
Massachusetts,Boston,,,Nation Grid/Boston Gas,5GDHC ,Federal Public Housing Buildings ,7 buildings. ,Construction anticipated to begin 2025,Residential ,129,Unknown,7,Unknown,Unknown ,"Yes. Gas boiler heating system, window air conditioning units for cooling. ",TBD. ,TBD. ,TBD. ,,? ,Unknown ,"For individual building electriciation and hot water equipment upgrades: Federal Capital Fund Program. Massachusetts Energy Efficiency Programs will help cover energy efficiency investments. For the addition of electrical appliances, EPA's Environmental Justice Government-to-Government Program (EJG2G). ",N/A ,N/A ,N/A ,"Partnership between BHA, Codman Square Neighborhood Development Corportion (CSBDC) to identify electrificaiton retrofit units. BU to study indoor air quality. National Grid to develop network and thermal resources. ","Kenzie Bok, Administrator at Boston Housing Authority ",1. Boston Housing Authority National Grid Agree to Develop Networked Geothermal Heating at Franklin Field Apartments (Jan 2024) ,interesting example to look into that emphasizes efforts of electrifying housing in preparation of connection the the network... how applicable is this to other cases?
Massachusetts,Buzzards Bay,,,Massachusetts Maritime Academy ,5GDHC ,College campus ,1 building ,Operating: Original building built -- . Construction began --. Operation began 2021. More buildings are being connected. ,Commercial ,N/A ,N/A ,1,Unknown,Unknown ,"Yes. Gas boiler heating system, unknown for cooling. ",GSHPs. ,257 boreholes distributed throughout parking lot and atheletic field. ,Unknown. ,,University/College,Unknown ,Unknown ,N/A ,Unknown ,Unknown ,"The network was part of an effort to renovate and transition the campus towards more sustainable and energy efficient buildings. Building renovations, installment of solar, and installment of wind turbines also took place. To expand the capacity of the network, additional buildings will have heat pumps added. ","Tyler Patrick, Sasaki (Project Developer). Tamar Warbug, Sasaki (Project Developer). ",1. Sasaki Mass Maritime Academy Decarbonization and Master Plan 2. Mass Maritime Academy Capital Projects ,
Massachusetts,Framingham ,,,Eversource ,5GDHC ,Community,36 buildings. ,Operating: Construction began 2022. Operation began 2025. ,"Mixed: 24 residential buildings, 5 commercial buildings ",125,Unknown,36,4.5 MMBtu/hr ,4.5 MMBtu/hr ,"Yes. Gas boiler heating system, unknown for cooling. ",GSHPs. ,1 borefield. 90 boreholes. Vertically and directional/deviated drilling.,1 mile of distribution pipe length. 5-7 feet deep pipe. 20% glycol mix. ,,Utility ,Unknown,"Energy efficiency credits to offset costs of weatherization and installation in homes and businesses. DOE's GTO Community Geothermal Heating and Cooling Initiative, 7.8M grant. ",$10/month. ,Anticipated 60% reduction of carbon emissions. ,20% decrease in monthly energy bills. ,,geothermal@eversource.com,"1. Framingham: Eversource Geothermal Pilot Program 2. Geothermal Pilot Reference Guide 3.  Networked geothermal heating pilot to go online in Framingham, Massachusetts ",
Massachusetts,South Hadley ,,,Mount Holyoke College ,5GDHC ,College campus ,43 buildings. 1.6 million square feet. ,Under Construction. Design began 2021. Construction began 2023. Project is set to be complete by 2030. ,Mixed ,N/A ,Unknown ,43,Unknown,Unknown ,"Yes. Coal and gas based heating system, air source heat pumps for air conditioning units. ",GSHPs. ,230 boreholes. 600 feet deep. ,26 miles of distribution pipe. ,,University/College,Unknown ,MassDevelopment: $154M tax-exempt bond. ,N/A ,Anticipated 80% reduction of carbon emissions by 2030,N/A ,"The network was pursued due to a 2018 directive to reach campus carbon neutrality by 2037. As of October, a significant amount of construction work lasting 2-6 weeks is occuring outside of campus buildings. ","Karla Youngblood, Associate Vice President for Facilities Management: kyoungblood@mtholyoke.edu ",1. Mount Holyoke Geothermal Project  2. Mount Holyoke College Pauses Plans to Build Hub for its $180M Geothermal Heating System ,"for this project, second source mentions project abutters with concerns regarding siting due to environmental contamination concerns and sound from backup generators"
